i,j,lon,lat,temp,X,Y,flag
271,380,126.0471,33.7091,25.946,226333.169,3733818.160,0
271,381,126.0471,33.7382,25.788,226425.617,3737046.221,0
271,382,126.0471,33.7673,25.584,226518.135,3740274.294,0
271,383,126.0471,33.7964,25.487,226610.724,3743502.377,0
271,384,126.0471,33.8255,25.459,226703.384,3746730.472,0
271,385,126.0471,33.8546,25.44,226796.114,3749958.578,0
271,386,126.0471,33.8836,25.426,226888.596,3753175.603,0
271,387,126.0471,33.9126,25.412,226981.147,3756392.638,0
271,388,126.0471,33.9417,25.359,227074.089,3759620.778,0
271,389,126.0471,33.9707,25.214,227166.781,3762837.835,0
271,390,126.0471,33.9997,24.929,227259.543,3766054.904,0
271,391,126.0471,34.0287,24.418,227352.375,3769271.984,0
271,392,126.0471,34.0577,23.73,227445.277,3772489.075,0
271,393,126.0471,34.0867,23.333,227538.249,3775706.177,0
271,394,126.0471,34.1157,23.351,227631.290,3778923.290,0
271,395,126.0471,34.1447,23.561,227724.402,3782140.415,11
271,396,126.0471,34.1736,23.889,227817.262,3785346.457,11
271,397,126.0471,34.2026,23.967,227910.513,3788563.604,11
271,401,126.0471,34.3182,23.8,228282.924,3801387.929,1
271,402,126.0471,34.3471,23.789,228376.200,3804594.038,1
271,403,126.0471,34.376,23.682,228469.545,3807800.158,1
272,380,126.0791,33.7091,25.9,229299.842,3733733.691,0
272,381,126.0791,33.7382,25.753,229391.285,3736961.717,0
272,382,126.0791,33.7673,25.572,229482.798,3740189.754,0
272,383,126.0791,33.7964,25.49,229574.381,3743417.802,0
272,384,126.0791,33.8255,25.463,229666.034,3746645.862,0
272,385,126.0791,33.8546,25.444,229757.756,3749873.932,0
272,386,126.0791,33.8836,25.437,229849.233,3753090.921,0
272,387,126.0791,33.9126,25.441,229940.779,3756307.922,0
272,388,126.0791,33.9417,25.431,230032.711,3759536.026,0
272,389,126.0791,33.9707,25.355,230124.395,3762753.049,0
