Key_ID,loc,onoff,iflag,ioc,T,S,At,x,y,lon,lat,name,dt,semiclose,model,WSE,CJO,replace1,replace2
1,DT_0001,1,1,1,1,1,1,287013.818,4147736.64,126.592111,37.451983,인천,1,0,1,1,2,68,69
2,DT_0002,1,1,1,2,64,2,306174.803,4093411.433,126.822694,36.966861,평택,1,1,2,1,1,64,64
3,DT_0003,1,1,1,101,72,3,265831.6036,3923360.535,126.42066,35.426158,영광,1,0,4,1,2,191,155
4,DT_0004,1,1,1,4,4,4,271840.978,3712468.222,126.543169,33.527475,제주,1,0,10,2,3,175,205
5,DT_0005,1,1,1,5,5,5,503226.52,3883720.254,129.0354,35.096275,부산,1,1,8,2,1,61,79
6,DT_0006,1,1,3,6,6,6,510274.361,4155934.904,129.116317,37.550361,묵호,1,0,10,3,3,42,42
7,DT_0007,1,1,1,7,7,7,259845.672,3851758.56,126.375556,34.779761,목포,1,1,4,1,1,122,144
8,DT_0008,1,1,1,8,8,8,291171.805,4118789.19,126.647228,37.192222,안산,1,1,2,1,1,64,64
9,DT_0009,1,1,3,9,9,9,534571.009,3989243.795,129.383806,36.047128,포항,1,0,10,3,3,9,9
10,DT_0010,1,1,1,10,10,10,272809.931,3680539.545,126.561644,33.239953,서귀포,1,0,10,2,3,157,157
11,DT_0011,1,1,3,11,11,11,540493.169,4059199.794,129.453194,36.677561,후포,1,0,10,3,3,181,112
12,DT_0012,1,1,3,12,12,12,464461.952,4228869.91,128.594083,38.207086,속초,1,0,10,3,3,99,187
13,DT_0013,1,1,3,13,13,13,669181.432,4151118.352,130.913722,37.4915,울릉도,1,0,10,3,3,180,180
14,DT_0014,1,1,1,14,14,14,448307.509,3854079.121,128.434703,34.827678,통영,1,0,7,2,2,128,114
15,DT_0015,1,1,1,15,15,15,462582.43,3896409.068,128.5889,35.21,마산,1,1,6,2,1,77,77
16,DT_0016,1,1,1,16,16,16,387006.603,3845710.573,127.765556,34.747269,여수,1,1,5,2,1,126,75
17,DT_0017,1,1,1,17,74,17,264460.447,4098980.925,126.352778,37.0075,대산,1,0,1,1,2,74,186
18,DT_0018,1,1,1,18,18,18,280280.626,3983976.17,126.563114,35.975494,군산,1,1,3,1,1,65,24
19,DT_0019,1,1,1,19,19,19,482752.389,3875740.65,128.810933,35.024178,가덕도,1,1,8,2,1,78,41
20,DT_0020,1,1,3,20,20,20,535112.665,3928765.641,129.387167,35.501833,울산,1,1,9,3,1,197,160
21,DT_0021,1,1,1,21,21,21,250527.261,3761209.122,126.300139,33.961833,추자도,1,0,10,2,3,184,54
22,DT_0022,1,1,1,10,10,10,307441.884,3705837.887,126.927708,33.474722,성산포,1,0,10,2,3,185,209
23,DT_0023,1,1,1,23,23,23,243798.704,3678415.828,126.251169,33.214328,모슬포,1,0,10,2,3,192,142
24,DT_0024,0,1,1,18,18,24,291580.5203,3987192.054,126.6875,36.006944,장항,1,0,3,1,1,18,65
25,DT_0026,1,1,1,25,25,25,347808.465,3816749.949,127.342656,34.481119,고흥발포,1,0,7,2,2,109,194
26,DT_0027,1,1,1,26,26,26,293852.416,3799412.958,126.759597,34.315511,완도,1,0,7,2,2,98,70
